AMCX
REX
RIG
RRC
SLB
SLCA
SM
SU
SWN
TALO
TDW
TELL
TPL
TRGP
TRP
TTE
VLO
VNOM
WHD
WLL
WMB
WTI
XEC
XOM
AAL
ACM
ACN
ADP
ADS
ADT
AHT
AGCO
AIR
AL
ALFA
ALK
ALLE
ALSN
AMCR
AME
AOS
ARD
ATR
AWI
AXON
AXP
AXTA
AYI
AZEK
BA
BAH
BC
BERY
BILL
BLD
BLDR
BLL
BWXT
CAE
CARR
CAT
CCK
CFX
CGNX
CHRW
CMI
CNHI
CNM
CNR
COF
COHR
CP
CPRT
CR
CSL
CSX
CTAS
CW
DAL
DCI
DD
DE
DOV
DSEY
EEFT
EFX
EMR
ENR
ETN
EXP
EXPD
FAST
FBHS
FCN
FDX
FICO
FIS
FISV
FLS
FLT
FOUR
FTV
G
GD
GE
GGG
GNRC
GPK
GPN
GTES
GWW
GXO
HAYW
HEI
HII
HON
HUBB
HWM
IAG
IEX
INFO
IR
ITT
ITW
J
JBHT
JCI
JKHY
KEX
KEYS
KNX
KSU
LDOS
LECO
LFUS
LHX
LII
LMT
LPX
LSTR
LUV
LZ
MA
MAN
MAS
MDU
MHK
MIDD
MKSI
MLM
MMM
MRO
MRCY
MSA
MSM
MTD
MTX
MTZ
NDSN
NLSN
NOC
NSC
NVT
OC
ODFL
OSK
OTIS
PAYX
PCAR
PCTY
PH
PKG
PNR
PPG
PSFE
PWR
PYPL
R
RAND
RHI
ROL
ROK
ROP
RPM
RRX
RSG
RTX
RYAAY
SAF
SAND
SCHN
SCHP
SEE
SHW
SLGN
SMIN
SNA
SNDR
SON
SPCE
SPR
SQ
ST
STNE
SWK
SYF
TDG
TDY
TREX
TRMB
TRI
TRU
TSP
TT
TTC
TXT
UAL
UNP
UPS
URI
V
VMC
VMI
VNT
VRSK
WAB
WAT
WCN
WEX
WM
WMS
WRK
WSO
WU
WWD
XPO
XYL
ZBRA
AA
AAL
AEM
AI
ALB
AMCR
APD
ASH
AVY
AXTA
BHP
BLL
CC
CE
CF
CHR
CLF
CMC
CTVA
DD
DOW
DSM
ECL
EMN
ESI
FAST
FCX
FM
FMC
FNV
HEI
HUN
HXL
IFF
IP
JHX
KL
LIN
LYB
MLM
MOS
MP
MT
NEM
NEU
NGVT
NUE
NTR
OLN
PKG
PPG
RGLD
RIO
RPM
RS
SCCO
SEE
SHW
SLVM
SMG
SQM
STLD
TKR
UMI
UNVR
VALE
VVV
VMC
WLK
WPM
WRK
X
AACAF
AACAY
AAPL
ACKAY
ACN
ADI
ADTN
ADTTF
AELTF
AEXAY
ALMFF
ALOT
AMADF
AMADY
AMAT
AMOT
AMSWA
APELY
APH
ARLUF
ASMIY
ASML
ASMLF
ASMVF
ASMVY
ASOZF
ASOZY
ASX
ATDRY
ATEYY
ATVI
AUKUF
AVEVF
AVGO
AVT
AYI
BBOX
BCNAF
BDC
BELFA
BELFB
BKTI
BLKB
BMI
BVILF
BVILY
BYDIF
CBLNY
CCMP
CCOEF
CCUR
CDK
CDW
CGEMY
CGNX
CIOXF
CIOXY
CLRO
CMPVF
CMSQF
CMTL
CNSWF
COHU
CPSI
CSCO
CSGS
CSIOF
CSPI
CSSXF
CSVI
CSXXY
CSYJF
CSYJY
CTS
DAKT
DASTF
DASTY
DBD
DCHIY
DNACF
DOX
DXC
EBIX
EGHSF
ELUXY
ENR
ENS
ERIC
ERIXF
ESE
ESP
EUTLF
EVSBY
EVTC
EVTZF
FDRVF
FELTF
FICO
FJTSF
FLIR
FORTY
FSOYF
FTV
FUWAF
FUWAY
GLW
GREZF
GRMN
GYUAF
HIMX
HNHPF
HOCPF
HPE
HPHTF
HPQ
HRELF
HTHIF
HTHIY
HURC
HXGBF
HXGBY
IBIDF
IBM
IFNNF
IFNNY
INFY
INTC
INTU
ISDR
ITRN
ITTOF
JBL
JCS
JEHLY
JELCF
JNPR
KACPF
KDCXF
KLAC
KNAMF
KNMCY
KSFTF
KYCCF
KYOCF
KYOCY
LARRF
LDOS
LFUS
LNVGF
LNVGY
LOGI
LPL
LRCX
LYTS
MANT
MAXR
MCFUF
MCHP
MCRNF
MEI
MGIC
MIELF
MIXIF
MIXT
MKSI
MLAB
MNBEF
MNBEY
MNDO
MPWR
MRAAF
MRVL
MSFT
MSI
MTHRF
MTSC
MXIM
NATI
NEXOF
NICE
NOK
NOKBF
NPEGF
NPSNY
NTAP
NTDOF
NTDOY
NTES
NTP
NVDA
NVEC
NXCLF
OMRNY
ORCL
OSAGF
OTEX
OXINF
PCRFF
PCRFY
PCTI
PEGA
PKE
PLPC
PMCUF
POWI
PRYMF
PRYMY
PTFRY
PXGYF
QADA
QADB
QCOM
RELL
RFIL
RHDGF
RNSHF
RPGRF
RSTAY
RTMVF
RTMVY
SABR
SAIC
SAP
SAPGF
SCND
SEKEF
SEPJF
SEPJY
SGAMF
SGPYY
SILC
SIMO
SKLTF
SKSJF
SLP
SMTGF
SMTOF
SNEJF
SNPTF
SQNXF
SSNC
STM
STMEF
STWRY
STX
SUMCF
SVT
SWDHY
SWKS
TACT
TAIT
TCEHY
TCTZF
TCYSF
TEL
TER
TESS
TMICF
TOELF
TRUHF
TRUHY
TSM
TSYHF
TSYHY
TTCNF
TTDKF
TXN
UMC
VNWTF
VSH
VTKLF
VTKLY
WCAGY
WCRS
WDC
WIRE
WIT
WNXDF
WRCDF
WSO
WSO.B
WSTG
XLNX
XPER
XPPLF
XRX
YAHOF
YASKF
