date,R&D,ROE,DPO,DTE,Trends,Assets,AssetsCurrent,NoncurrentAssets,AccountsPayable,AccountsPayableCurrent,AccountsReceivableNetCurrent,InventoryNet,Liabilities,LiabilitiesCurrent,PreconfirmationCurrentAssets,OtherAssetsNonCurrent,AssetsFairValueDisclosure,SellingGeneralAndAdministrativeExpense,RepaymentsOfNotesPayable,ResearchDevelopmentAndRelatedExpenses,ResearchAndDevelopmentExpense,SalesRevenueNet,DeferredRevenueCurrent,DebtCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoneCurrent,OtherLongTermDebt,RepaymentsOfLongTermDebt,InterestExpenseDebt,LiabilitiesAndStockholdersEquity,StockholdersEquity
2019q2,0,0,0,72200000000.0,26.0,286556000000.0,175552000000.0,93632000000.0,0,9382000000.0,29524000000.0,2063000000.0,184226000000.0,69420000000.0,0,0,0,0,0,0,16876000000.0,0,0,0,72200000000.0,5516000000.0,0,0,0,0,286556000000.0,102330000000.0
2019q3,0,0,0,69495000000.0,28.0,278955000000.0,165896000000.0,0,0,8574000000.0,19087000000.0,2622000000.0,172894000000.0,58118000000.0,0,0,0,0,0,0,4565000000.0,0,0,0,69495000000.0,3017000000.0,0,0,0,0,278955000000.0,106061000000.0
2019q4,0,0,0,69608000000.0,29.0,282794000000.0,167074000000.0,0,0,8811000000.0,23525000000.0,1823000000.0,172685000000.0,59640000000.0,0,0,0,0,0,0,9168000000.0,0,0,0,69608000000.0,6247000000.0,0,0,0,0,282794000000.0,110109000000.0
2020q1,0,0,0,66610000000.0,33.666666666666664,285449000000.0,170505000000.0,0,0,9246000000.0,22699000000.0,1644000000.0,170948000000.0,58707000000.0,0,0,0,0,0,0,14055000000.0,0,0,0,66610000000.0,3748000000.0,0,0,0,0,285449000000.0,114501000000.0
2020q2,0,0,0,63327000000.0,37.0,301311000000.0,181915000000.0,103293000000.0,0,12530000000.0,32011000000.0,1895000000.0,183007000000.0,72310000000.0,0,0,0,0,0,0,19269000000.0,0,0,0,63327000000.0,3749000000.0,0,0,0,0,301311000000.0,118304000000.0
2020q3,0,0,0,63552000000.0,42.0,301001000000.0,177077000000.0,0,0,12509000000.0,22851000000.0,2705000000.0,177609000000.0,70056000000.0,0,0,0,4895000000.0,0,0,4926000000.0,0,0,0,63552000000.0,6497000000.0,0,0,25000000.0,0,301001000000.0,123392000000.0
2020q4,0,0,0,62216000000.0,32.666666666666664,304137000000.0,173973000000.0,0,0,12770000000.0,27312000000.0,1924000000.0,173901000000.0,67486000000.0,0,0,0,0,0,0,9825000000.0,0,0,1693000000.0,60523000000.0,5387000000.0,0,0,0,0,304137000000.0,130236000000.0
2021q1,0,0,0,58058000000.0,33.0,308879000000.0,165614000000.0,0,0,13412000000.0,26322000000.0,2245000000.0,174374000000.0,72193000000.0,0,0,0,0,0,0,15029000000.0,0,0,0,58058000000.0,8051000000.0,0,0,0,0,308879000000.0,134505000000.0
2021q2,0,0,0,67035000000.0,29.0,333779000000.0,184406000000.0,128314000000.0,0,15163000000.0,38043000000.0,2636000000.0,191791000000.0,88657000000.0,0,0,0,0,0,0,20716000000.0,0,0,8889000000.0,58146000000.0,8072000000.0,0,0,0,0,333779000000.0,141988000000.0
2021q3,0,0,0,58665000000.0,29.333333333333332,335418000000.0,174326000000.0,0,0,14832000000.0,27349000000.0,3411000000.0,183440000000.0,80528000000.0,0,0,0,4950000000.0,0,0,5599000000.0,0,0,5377000000.0,53288000000.0,3249000000.0,0,0,26000000.0,0,335418000000.0,151978000000.0
2021q4,0,0,0,0.0,23.666666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
